Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
16,"While a member of UNESCO, which Federated States of Micronesia published The Networker?",When the Federated States of Micronesia was a member of UNESCO,time interval,When Federated States of Micronesia was a member of UNESCO,time interval,intermediate_question_different
18,"What was the third track on the band's second studio album when the song ""We Are Young"" brought them mainstream success?","When the song ""We Are Young"" brought the band mainstream success",date,"When the song ""We Are Young"" brought the band mainstream success",time interval,answer_type_different
19,"At which association football club did Roberto Mancini begin his managerial career at the age of 36, before eventually winning the Coppa Italia title?",When Roberto Mancini began his managerial career at the age of 36,date,When Roberto Mancini began his managerial career at the age of 36,time interval,answer_type_different
20,"During the eruption of Mount Nyiragongo in the Democratic Republic of the Congo which displaced about 400,000 people, what branch of physics was used to monitor the increased activity?","When the eruption of Mount Nyiragongo in the Democratic Republic of the Congo displaced about 400,000 people",date,When Mount Nyiragongo erupted in the Democratic Republic of the Congo,date,intermediate_question_different
21,"During Jeremy Corbyn's tenure as Shadow Cabinet leader, what leadership elections took place?",When Jeremy Corbyn was Shadow Cabinet leader,time interval,When Jeremy Corbyn was the Shadow Cabinet leader,time interval,intermediate_question_different
24,"Who was the rector of the National Autonomous University of Mexico when there were 30,089 postgraduates enrolled (as of update)?","When there were 30,089 postgraduates enrolled at the National Autonomous University of Mexico",date,"When there were 30,089 postgraduates enrolled at the National Autonomous University of Mexico",time interval,answer_type_different
25,"During the US Open quarter-final in Kim Clijsters' Grand Slam doubles results, which edition of the tennis tournament did Kim Clijsters maintain her top ten ranking despite a shoulder injury?",When Kim Clijsters had a shoulder injury,time interval,When Kim Clijsters maintained her top ten ranking in US Open quarter-final despite a shoulder injury,time interval,intermediate_question_different
26,Which production company was behind Iron Man when Stan Winston's company created rubber and metal versions of the armor and used computer-generated imagery to create the character?,When Stan Winston's company created rubber and metal versions of the armor and used computer-generated imagery to create the character for Iron Man,date,When Stan Winston's company created rubber and metal versions of the Iron Man armor and used computer-generated imagery to create the character,date,intermediate_question_different
30,"During the Dutch Golden Age, which artist typified the trend of Baroque paintings against dark backgrounds that became popular from the mid-century onwards?",When the Dutch Golden Age occurred,time interval,When Baroque paintings against dark backgrounds became popular during the Dutch Golden Age,time interval,intermediate_question_different
31,Which village did William Herschel move to after the portrait of him by Lemuel Francis Abbott was taken?,When the portrait of William Herschel by Lemuel Francis Abbott was taken,date,When Lemuel Francis Abbott took a portrait of William Herschel,date,intermediate_question_different
32,What role did Mario Scelba have before becoming the Minister of the Interior?,When Mario Scelba became the Minister of the Interior,date,When Mario Scelba became the Minister of the Interior?,date,intermediate_question_different
34,"After the Nazi takeover in Germany, what party was in power and led to a violent crackdown of real and perceived enemies following the persecution of homosexuals?",When the Nazi takeover in Germany occurred,date,When Nazi Party took power in Germany,date,intermediate_question_different
35,"During Akihiro Hyodo's Senior career, which association football club did he play for?",When Akihiro Hyodo's Senior career took place,time interval,When Akihiro Hyodo started his senior career,time interval,intermediate_question_different
36,Who has been the Secretary General of the Senegalese Democratic Party since its foundation on August 8th?,When the Senegalese Democratic Party was founded,date,When Senegalese Democratic Party was founded,date,intermediate_question_different
39,"When Benito Mussolini served as Minister of the Interior, which Italian general election was he concurrently Minister of War?",When Benito Mussolini served as Minister of the Interior,time interval,When Benito Mussolini served Minister of the Interior and Minister of War,date,intermediate_question_and_answer_type_different
41,"During the time of decriminalization of consensual same-sex acts in Poland, what language was LGBT rights in Poland legalized?",When consensual same-sex acts were decriminalized in Poland,date,When was consensual same-sex acts in Poland decriminalized?,date,intermediate_question_different
44,"While playing in his last test against Australia, which team was Mark Burgess part of?",When Mark Burgess played his last test against Australia,date,When Mark Burgess played in his last test against Australia,date,intermediate_question_different
45,"After Sergio Ramos' youth career with Sevilla, what national under-17 team did he start his international career with?",When Sergio Ramos' youth career with Sevilla took place,time interval,When Sergio Ramos' youth career with Sevilla ended,time interval,intermediate_question_different
46,Which subsidiary university is part of Indiana University with an endowment of $ 2.43 billion?,When Indiana University's endowment reached $2.43 billion,date,When Indiana University's subsidiary university was established with endowment of $ 2.43 billion,date,intermediate_question_different
47,Who was the head of government in Nannestad when the +16.74 area applied to part of the fresh water?,When the +16.74 area applied to part of the fresh water in Nannestad,date,When the +16.74 area applied to part of the fresh water in Nannestad,time interval,answer_type_different
48,"During Hunter S. Thompson's career, what artistic style did he coin?",When Hunter S. Thompson's career took place,time interval,When Hunter S. Thompson coined his artistic style,date,intermediate_question_and_answer_type_different
50,"After Benz Cie. Daimler Motoren Gesellschaft, who was a board member of Daimler-Benz?",When Benz Cie. and Daimler Motoren Gesellschaft merged to form Daimler-Benz,date,When Benz Cie. Daimler Motoren Gesellschaft became Daimler-Benz,date,intermediate_question_different
54,What event in which Olympic sports discipline did Paavo Aaltonen compete at the London Olympic Games as part of the Team?,When Paavo Aaltonen competed at the London Olympic Games,date,When Paavo Aaltonen competed at the London Olympic Games as part of the Team,time interval,intermediate_question_and_answer_type_different
55,What company did the Douglas Aircraft Company merge with to form McDonnell Douglas and then become a division of the latter?,When the Douglas Aircraft Company merged to form McDonnell Douglas,date,When the Douglas Aircraft Company merged with to form McDonnell Douglas,date,intermediate_question_different
59,"Before joining the military, what school did George H.W. Bush attend?",When George H.W. Bush joined the military,date,When George H.W. Bush joined the military,time interval,answer_type_different
60,In which county-level city was Guo Guangchang born when he was born in Dongyang Zhejiang?,"When Guo Guangchang was born in Dongyang, Zhejiang",date,When Guo Guangchang was born in Dongyang Zhejiang,date,intermediate_question_different
62,What football club did Hans Tilkowski win the Oberliga West with during his senior career?,When Hans Tilkowski won the Oberliga West during his senior career,time interval,When Hans Tilkowski won the Oberliga West with during his senior career,time interval,intermediate_question_different
64,What municipality did Kumagaya replace during the dissolution of Nara?,When Kumagaya replaced a municipality during the dissolution of Nara,date,When Kumagaya replaced Nara during the dissolution of Nara,date,intermediate_question_different
65,What was Convair's parent company before it was bought by General Dynamics and became their Convair Division?,When Convair was bought by General Dynamics and became their Convair Division,date,When General Dynamics bought Convair and created their Convair Division,date,intermediate_question_different
69,Who owned The Daily Telegraph prior to Australian Consolidated Press?,When Australian Consolidated Press owned The Daily Telegraph,time interval,When The Daily Telegraph was owned by Australian Consolidated Press,time interval,intermediate_question_different
71,"During Frank Broyles' stint at Georgia Tech, which sports team did he coach?",When Frank Broyles' stint at Georgia Tech occurred,time interval,When Frank Broyles was at Georgia Tech,time interval,intermediate_question_different
72,What team did Wendy Larry coach after her time at Arizona in NCAA Division I women's basketball?,When Wendy Larry's time at Arizona in NCAA Division I women's basketball occurred,time interval,When Wendy Larry coaching at Arizona in NCAA Division I women's basketball,time interval,intermediate_question_different
74,What songs on the album Viva la Vida or Death and All His Friends were composed by all members of the band for their fourth album Viva la Vida?,When the band composed songs for their fourth album Viva la Vida,time interval,When Viva la Vida or Death and All His Friends was released,date,intermediate_question_and_answer_type_different
75,"Before the city of Rybinsk was named after Fish, what was it named after?",When the city of Rybinsk was named after Fish,date,When Rybinsk was renamed to Fish,date,intermediate_question_different
77,"What company did Twitch Interactive, the subsidiary of Amazon com Inc, have an exclusive deal with while operating Twitch?",When Twitch Interactive had an exclusive deal while operating Twitch,time interval,When Twitch Interactive had an exclusive deal with a company while operating Twitch,time interval,intermediate_question_different
80,"What award did S K Shivakumar receive when he was awarded the Padma Shri, India's fourth highest civilian award?",When S K Shivakumar was awarded the Padma Shri,date,"When S K Shivakumar was awarded the Padma Shri, India's fourth highest civilian award",date,intermediate_question_different
81,"Who succeeded as director/manager of the Detroit Institute of Arts, one of the world’s most visited art museums with approximately 677,500 visitors each year?",When the director/manager of the Detroit Institute of Arts succeeded,date,When did the successor to the director/manager of the Detroit Institute of Arts take office?,date,intermediate_question_different
82,What was the name of the darts organisation that Phil Taylor was a founding member of during his tenure as a professional dart player?,When Phil Taylor was a professional dart player,time interval,When Phil Taylor was a founding member of a pro darts organisation,time interval,intermediate_question_different
83,"After the Nordland area +110.61 applies to part arroyo, which county in Norway does Nordland share a border with?",When the Nordland area +110.61 applies to part arroyo,date,When the Nordland area +110.61 applied to part arroyo,date,intermediate_question_different
86,What literary award did Ilse Aichinger receive after Günter Eich's death?,When Günter Eich died,date,When Günter Eich's death,date,intermediate_question_different
87,"Where did the Electric Daisy Carnival EDC Orlando take place from November 9–10, while the Electric Daisy Carnival EDC Las Vegas was offering on-site camping?",When the Electric Daisy Carnival EDC Las Vegas was offering on-site camping,time interval,When Electric Daisy Carnival EDC Orlando took place,date,intermediate_question_and_answer_type_different
88,"After Carlos Sastre won the Tour de France and dedicated it to his memory, which professional team was he a member of?",When Carlos Sastre won the Tour de France and dedicated it to his memory,date,When Carlos Sastre was a member of a professional team,time interval,intermediate_question_and_answer_type_different
90,Who succeeded Sergey Morozov as head of government in Astrakhan Oblast?,When Sergey Morozov was head of government in Astrakhan Oblast,time interval,When Sergey Morozov ceased to be head of government in Astrakhan Oblast,time interval,intermediate_question_different
91,"In Memphis, Tennessee, which three Fortune 500 companies existed when Viscera (wrestler) died?",When Viscera (wrestler) died,date,"When Viscera (wrestler) died in Memphis, Tennessee",date,intermediate_question_different
94,What was the position of Andrea Bocelli's album Cieli di Toscana on the charts during its first release week in the United States?,When Andrea Bocelli's album Cieli di Toscana was first released in the United States,date,When Andrea Bocelli's album Cieli di Toscana released in the United States,date,intermediate_question_different
98,Who was the head of government in North Dakota before Frederick B. Fancher?,When Frederick B. Fancher was head of government in North Dakota,time interval,When Frederick B. Fancher became the head of government in North Dakota,date,intermediate_question_and_answer_type_different
100,"After the Dutch guilder was removed as currency on Bonaire, which currency replaced it?",When the Dutch guilder was removed as currency on Bonaire,date,When Dutch guilder was removed as currency on Bonaire,time interval,intermediate_question_and_answer_type_different
101,"What FDA-approved drug or therapy for the treatment of rheumatoid arthritis was available during the time of 30,000 deaths caused by the disease?","When 30,000 deaths were caused by rheumatoid arthritis",time interval,"When 30,000 deaths caused by rheumatoid arthritis occurred",time interval,intermediate_question_different
102,What subsidiary of Syracuse University had a budget of $1.637 billion?,When the subsidiary of Syracuse University had a budget of $1.637 billion,time interval,When Syracuse University had a budget of $1.637 billion,date,intermediate_question_and_answer_type_different
105,"While obtaining her Master of Science degree from the Columbia University Graduate School of Journalism, which award did Roni Caryn Rabin receive?",When Roni Caryn Rabin obtained her Master of Science degree from the Columbia University Graduate School of Journalism,time interval,When Roni Caryn Rabin obtained her Master of Science degree from the Columbia University Graduate School of Journalism?,date,intermediate_question_and_answer_type_different
106,"During Chan Yuen Ting's international career in Hong Kong SAR, which association football club did she have a senior career with?",When Chan Yuen Ting had an international career in Hong Kong SAR,time interval,When Chan Yuen Ting had a senior international career in Hong Kong SAR,time interval,intermediate_question_different
107,Who succeeded the head of government in Kroměříž after the UNESCO World Heritage Site Inscription (22nd Session)?,When the UNESCO World Heritage Site Inscription (22nd Session) occurred,date,When UNESCO World Heritage Site was inscribed in Kroměříž,date,intermediate_question_different
109,"Who was Carl Sagan's wife before his death in Seattle, Washington, U.S at the age of 62?","When Carl Sagan died in Seattle, Washington, U.S.",date,"When Carl Sagan died in Seattle, Washington, U.S at the age of 62",date,intermediate_question_different
110,"During an annular solar eclipse visible from Canada, Greenland, the North Pole and the Russian Far East, who was the head of government in Greenland?","When an annular solar eclipse was visible from Canada, Greenland, the North Pole and the Russian Far East",date,"When the annular solar eclipse was visible from Canada, Greenland, the North Pole and the Russian Far East",date,intermediate_question_different
114,Which university did Gustav Ludwig Hertz attend prior to receiving his doctorate under Heinrich Leopold Rubens?,When Gustav Ludwig Hertz received his doctorate under Heinrich Leopold Rubens,date,When Gustav Ludwig Hertz received his doctorate under Heinrich Leopold Rubens,time interval,answer_type_different
117,During the Tunisia national football team's first match (against the French B team) which football league had the best Tunisian players come from?,When the Tunisia national football team played its first match against the French B team,date,When Tunisia national football team had its first match,date,intermediate_question_different
119,Who was the head of government in the Buenos Aires Province before Axel Kicillof?,When Axel Kicillof was head of government in the Buenos Aires Province,time interval,When Axel Kicillof became head of government in Buenos Aires Province,date,intermediate_question_and_answer_type_different
121,What NCAA Division I women's basketball team did Kim Mulkey play for before joining the Olympic Games Los Angeles Team?,When Kim Mulkey joined the Olympic Games Los Angeles Team,time interval,When Kim Mulkey joined Olympic Games Los Angeles Team,date,intermediate_question_and_answer_type_different
122,Who was the Carolina Panthers' head coach before Brian Burns was drafted?,When Brian Burns was drafted by the Carolina Panthers,date,When Brian Burns was drafted,date,intermediate_question_different
124,Who succeeded Ma Ying-jeou as head of government in Taipei?,When Ma Ying-jeou was head of government in Taipei,time interval,When Ma Ying-jeou left his position as head of government in Taipei,date,intermediate_question_and_answer_type_different
126,"During the First Portuguese Republic (República Portuguesa), what was the first name used for the Portuguese Republic?",When the First Portuguese Republic (República Portuguesa) existed,time interval,When the First Portuguese Republic (República Portuguesa) was established,date,intermediate_question_and_answer_type_different
127,What state was the Kumaon division located in before Uttarakhand?,When Kumaon division was located in Uttarakhand,date,When Uttarakhand became part of the Kumaon division,date,intermediate_question_different
128,"Before joining AEK Larnaca, which football club did Loukas Louka Senior career play for?",When Loukas Louka joined AEK Larnaca,time interval,When Loukas Louka Senior joined AEK Larnaca,time interval,intermediate_question_different
129,"After having been located in Hebei, which administrative territorial entity is Baoding now in?",When Baoding was located in Hebei,time interval,When Baoding located in Hebei,date,intermediate_question_and_answer_type_different
130,What is the date of the next election for the lower house of the Arizona State Legislature?,When the next election for the lower house of the Arizona State Legislature is,date,When is the next election for the lower house of the Arizona State Legislature,date,intermediate_question_different
133,What team was Jürgen Macho playing for when he started his senior career with 0 appearances?,When Jürgen Macho started his senior career,date,When Jürgen Macho started his senior career with 0 appearances,time interval,intermediate_question_and_answer_type_different
134,"What was the worth of the Florida State University in term of business entity when there were 33,486 undergraduates in the fall?","When there were 33,486 undergraduates at Florida State University in the fall",date,"When the Florida State University enrolment had 33,486 undergraduates in the fall",time interval,intermediate_question_and_answer_type_different
135,"During María Consuelo Porras' tenure as Attorney General of Guatemala, who replaced her?",When María Consuelo Porras was Attorney General of Guatemala,time interval,When María Consuelo Porras left her tenure as Attorney General of Guatemala,date,intermediate_question_and_answer_type_different
136,What company did Carlos Alcaraz become a brand ambassador for when he achieved a No. 1 ranking in singles?,When Carlos Alcaraz achieved a No. 1 ranking in singles,date,When Carlos Alcaraz achieved a No. 1 ranking in singles,time interval,answer_type_different
137,What was the Toronto Argonauts' home stadium when they played in the 59th Grey Cup Game?,When the Toronto Argonauts played in the 59th Grey Cup Game,date,When Toronto Argonauts played in the 59th Grey Cup Game,time interval,intermediate_question_and_answer_type_different
138,"During the Enhanced Community Quarantine in Luzon, which metropolitan area was the IATF-EID discussing the petition to reimpose an ECQ on August 2?",When the Enhanced Community Quarantine in Luzon was in effect,time interval,When IATF-EID discussed the petition to reimpose an ECQ on Luzon,date,intermediate_question_and_answer_type_different
139,What football club did Cristian Lucchetti move to when he had 16 senior appearances?,When Cristian Lucchetti had 16 senior appearances,date,When Cristian Lucchetti had 16 senior appearances,time interval,answer_type_different
140,What football club was Theo Bücker a manager for after Nejmeh?,When Theo Bücker was a manager for Nejmeh,time interval,When Theo Bücker became a manager for Nejmeh,date,intermediate_question_and_answer_type_different
142,What bird was chosen as the official symbol of Illinois during the Northern Cardinal's tenure?,When the Northern Cardinal was the official symbol of Illinois,time interval,When Northern Cardinal was the official symbol of Illinois,time interval,intermediate_question_different
143,What TV show did Magnus Samuelsson win for the second time as Strongman Super Series champion?,When Magnus Samuelsson won for the second time as Strongman Super Series champion,date,When Magnus Samuelsson won the Strongman Super Series championship for the second time,time interval,intermediate_question_and_answer_type_different
148,In which war did Guantánamo Bay detention camp open and adopt a training program as a source of interrogation techniques?,When Guantánamo Bay detention camp opened,date,When Guantánamo Bay detention camp opened and adopted a training program as a source of interrogation techniques,date,intermediate_question_different
149,Which animal is the official symbol for the city of Iwaki in Fukushima Prefecture?,When the official symbol for the city of Iwaki in Fukushima Prefecture was chosen,date,When Iwaki in Fukushima Prefecture adopted the animal symbol,date,intermediate_question_different
150,"While John Lubbock, 1st Baron Avebury was a Member of Parliament for Maidstone, what charitable organization did he become the first president of?","When John Lubbock, 1st Baron Avebury was a Member of Parliament for Maidstone",time interval,"When John Lubbock, 1st Baron Avebury became the president of a charitable organization",date,intermediate_question_and_answer_type_different
151,"Prior to playing for the England national under-21 football team, which sports team was David Beckham a member of?",When David Beckham played for the England national under-21 football team,time interval,When David Beckham was a member of the England national under-21 football team,time interval,intermediate_question_different
152,Which club did Endurance Idahor play for before his senior career at Dolphins?,When Endurance Idahor started his senior career at Dolphins,time interval,When Endurance Idahor joined Dolphins,time interval,intermediate_question_different
155,"Before Nick Saban coached the Toledo Rockets football team, who was the head coach of the college sports team under Gary Pinkel?",When Nick Saban coached the Toledo Rockets football team,time interval,When Gary Pinkel was Head Coach of the Toledo Rockets Football Team,time interval,intermediate_question_different
156,"Before managing Manchester United, which football club did Ernest Mangnall manage?",When Ernest Mangnall managed Manchester United,time interval,When Ernest Mangnall managed Manchester United,date,answer_type_different
159,"During the 112 games Landon Donovan played for LA Galaxy in his Senior career, which season did he score 247 goals?",When Landon Donovan played 112 games for LA Galaxy in his Senior career,time interval,When Landon Donovan scored 247 goals during his Senior career with LA Galaxy,time interval,intermediate_question_different
160,"During Babīte Municipality’s time, which former municipality in Latvia did Jūrmala share a border with?",When Babīte Municipality existed,time interval,When Babīte Municipality was in Latvia,time interval,intermediate_question_different
161,Which sailboat class was eligible to compete in the America's Cup Challenger when the Royal New Zealand Yacht Squadron was the challenger club?,When the Royal New Zealand Yacht Squadron was the challenger club for the America's Cup,time interval,When the Royal New Zealand Yacht Squadron was the America's Cup Challenger Club,time interval,intermediate_question_different
162,"What event did Greta Andersen win two European medals in at her first international competition, the LEN European Aquatics Championships held in Monte Carlo?",When Greta Andersen won two European medals at the LEN European Aquatics Championships in Monte Carlo,date,"When Greta Andersen won two European medals in her first international competition, the LEN European Aquatics Championships held in Monte Carlo",date,intermediate_question_different
164,What was the ISBN of David Foster Wallace's work when the ISBN 978-0-14-102804-0 was released?,When the ISBN 978-0-14-102804-0 was released,date,When ISBN 978-0-14-102804-0 was released,date,intermediate_question_different
165,Where did the Returner from the Chang'e 5 mission separate with the Orbiter and descend to the surface of the Earth at 17:59 UTC?,When the Returner from the Chang'e 5 mission separated with the Orbiter and descended to Earth at 17:59 UTC,date,When the Returner from the Chang'e 5 mission separated with the Orbiter and descended to the surface of the Earth,date,intermediate_question_different
167,"Which association football club did Eddie Flynn play for before Cliftonville Football Club in Belfast, Northern Ireland?","When Eddie Flynn played for Cliftonville Football Club in Belfast, Northern Ireland",time interval,"When Eddie Flynn joined Cliftonville Football Club in Belfast, Northern Ireland",time interval,intermediate_question_different
168,In which German state was Chemnitz located when it won the Schleuderachse award?,When Chemnitz won the Schleuderachse award,date,When Chemnitz won the Schleuderachse award,time interval,answer_type_different
169,"During Don Branson's Champ Car career, in which season was he active?",When Don Branson's Champ Car career was active,time interval,When Don Branson was active in Champ Car career,time interval,intermediate_question_different
171,Who was the chairperson of the Social Democratic Party of Austria when they won 21.2% of the votes in the legislative election?,When the Social Democratic Party of Austria won 21.2% of the votes in the legislative election,date,When Social Democratic Party of Austria won 21.2% of the votes in the legislative election,time interval,intermediate_question_and_answer_type_different
172,Who was the rector at Delft University of Technology when the budget was € 824.7 million?,When the budget of Delft University of Technology was €824.7 million,date,When Delft University of Technology had a budget of € 824.7 million,time interval,intermediate_question_and_answer_type_different
173,Who was the first son born to the 10th Earl of Shaftesbury and his wife during the earl's tenure as a right honourable?,When the 10th Earl of Shaftesbury served as a right honourable,time interval,When the 10th Earl of Shaftesbury was a right honourable,time interval,intermediate_question_different
175,Who was the first president of the Second Polish Republic (Rzeczpospolita Polska) under Józef Piłsudski?,When Józef Piłsudski was in power in the Second Polish Republic,time interval,When Józef Piłsudski became the first president of the Second Polish Republic (Rzeczpospolita Polska),date,intermediate_question_and_answer_type_different
177,"What led to Snoopy becoming the ""besetting artistic weakness"" of the comic strip and ultimately to its ruin in the 1970s?","When Snoopy became the ""besetting artistic weakness"" of the comic strip and led to its ruin in the 1970s",time interval,"When Snoopy became the ""besetting artistic weakness"" of the comic strip",time interval,intermediate_question_different
178,What film did Jean-Claude Van Damme select to premiere when he was nominated for a Golden Raspberry Award for Worst New Star?,When Jean-Claude Van Damme was nominated for a Golden Raspberry Award for Worst New Star,date,When Jean-Claude Van Damme was nominated for a Golden Raspberry Award for Worst New Star,time interval,answer_type_different
179,"During Libya's struggle for independence from Italy, which part was designated to be the Libyan Arab Republic?",When Libya struggled for independence from Italy,time interval,When Libya's struggle for independence from Italy began,time interval,intermediate_question_different
180,"During his time as the leader of Welsh Labour, in which UK general election did Rhodri Morgan become the Member of Parliament for Cardiff West?",When Rhodri Morgan was the leader of Welsh Labour,time interval,When Rhodri Morgan became the Member of Parliament of Cardiff West,time interval,intermediate_question_different
183,"During Marty Robbins' active years in sports, which season did he play?",When Marty Robbins was active in sports,time interval,When Marty Robbins was actively involved in sports,time interval,intermediate_question_different
184,"When Kevin McCarthy (age 58) was born in Bakersfield, California, what university in the system was already established there?",When Kevin McCarthy was born,date,"When Kevin McCarthy was born in Bakersfield, California",date,intermediate_question_different
185,Who was the head of government in the Valencia Province before Antoni Francesc Gaspar Ramos?,When Antoni Francesc Gaspar Ramos was head of government in the Valencia Province,time interval,When Antoni Francesc Gaspar Ramos became the head of government in the Valencia Province,date,intermediate_question_and_answer_type_different
186,Who was the chairperson of the Council of the Republic when the Fourth Republic was established and the Constitution mandated a bicameral parliament?,When the Fourth Republic was established and the Constitution mandated a bicameral parliament,date,When the Fourth Republic was established and the Constitution mandated a bicameral parliament?,date,intermediate_question_different
188,"During the era of the Russian Socialist Federative Soviet Republic, which administrative entity was Yaroslavl located in?",When the Russian Socialist Federative Soviet Republic existed,time interval,During what era was Yaroslavl located in the Russian Socialist Federative Soviet Republic,time interval,intermediate_question_different
189,Who was operating the German submarine U-1224 when it was used for educational purposes?,When German submarine U-1224 was used for educational purposes,time interval,When the German submarine U-1224 was used for educational purposes,time interval,intermediate_question_different
190,Who was the head coach of 1. FC Nuremberg during their time in the 2. Bundesliga?,When 1. FC Nuremberg was in the 2. Bundesliga,time interval,When 1. FC Nuremberg were in the 2. Bundesliga,time interval,intermediate_question_different
192,What occupation did Dirk Kempthorne pursue after managing the gubernatorial campaign for Lieutenant Governor Phil Batt?,When Dirk Kempthorne managed the gubernatorial campaign for Lieutenant Governor Phil Batt,date,When Dirk Kempthorne managing the gubernatorial campaign for Lieutenant Governor Phil Batt,time interval,intermediate_question_and_answer_type_different
193,"Once UTC+08:30 Korea Standard Time was placed in a time zone, what was it named for?",When UTC+08:30 Korea Standard Time was placed in a time zone,date,When UTC+08:30 Korea Standard Time was placed in a time zone,time interval,answer_type_different
194,Who was the head of government in Sardinia when its nominal GDP was €34.9 billion?,When Sardinia's nominal GDP was €34.9 billion,date,When Sardinia's nominal GDP was € 34.9 billion,time interval,intermediate_question_and_answer_type_different
195,What percentage of the vote did Marine Le Pen gain in the French presidential election following Gilbert Collard's membership in the National Front?,When Gilbert Collard was a member of the National Front,time interval,When Gilbert Collard became a member of the National Front,date,intermediate_question_and_answer_type_different
197,At what point during the Cocoanut Grove fire did a few patients require months of medical specialty?,When the Cocoanut Grove fire occurred,date,When a few patients required months of medical specialty during the Cocoanut Grove fire,time interval,intermediate_question_and_answer_type_different
198,What party was the Party of Democratic Socialism (Germany) renamed to when Andrej Hunko was a member?,When Andrej Hunko was a member of the Party of Democratic Socialism (Germany),time interval,When Andrej Hunko was a member of the Party of Democratic Socialism (Germany),date,answer_type_different
199,"During Charles Evans Whittaker's tenure as Judge of the United States Court of Appeals for the Eighth Circuit, which court did President Dwight D Eisenhower nominate him to?",When Charles Evans Whittaker was Judge of the United States Court of Appeals for the Eighth Circuit,time interval,When President Dwight D Eisenhower nominated Charles Evans Whittaker to the United States Court of Appeals for the Eighth Circuit,date,intermediate_question_and_answer_type_different
200,Who was Tom Moore's spouse before he met Renée Adorée on New Year's Eve in New York City?,When Tom Moore met Renée Adorée on New Year's Eve in New York City,date,When Tom Moore met Renée Adoréeon New Year's Eve in New York City,date,intermediate_question_different
202,"In the Wichita State Shockers men's basketball team season following Carl Hall's membership, what was the result of their second appearance in a tournament?",When Carl Hall was a member of the Wichita State Shockers men's basketball team,time interval,When Carl Hall joined Wichita State Shockers men's basketball team,time interval,intermediate_question_different
203,"When the Cuban Constitution was amended in a referendum in which 91.61% of valid votes approved it, which public offices had provisional governors proposed without having provisional elections?",When the Cuban Constitution was amended in a referendum in which 91.61% of valid votes approved it,date,When 91.61% of valid votes approved the amendment to Cuban Constitution in a referendum,date,intermediate_question_different
205,"According to a research done by IHL Group during the retail apocalypse, what principle was true regarding the 20 stores announcing the most closures?",When the retail apocalypse occurred,time interval,When IHL Group conducted research during the retail apocalypse,time interval,intermediate_question_different
208,What dicastery did Pope Francis appoint Kevin Farrell to lead during His Eminence Kevin Joseph Farrell's appointment?,When Pope Francis appointed Kevin Farrell,date,When Pope Francis appointed Kevin Farrell to lead the dicastery during His Eminence Kevin Joseph Farrell's appointment,date,intermediate_question_different
